"resource_name","task_family","anatomy_or_domain","task_or_scenario","base_signal_type","source_basis","dataset_url","evidence_url","status"
"FETAL PLANES DB","recognition_classification;quality_acquisition","Fetus, fetal abdomen, fetal brain, fetal femur, fetal thorax, maternal cervix","Fetal standard plane identification","labels/classes; quality/acquisition cues","72-dataset catalogue; U2-BENCH source","https://zenodo.org/record/3904280","https://www.nature.com/articles/s41598-020-67076-5","verified_or_from_u2bench_source"
"RESECT","reconstruction_registration","Brain","","raw/reconstruction/registration targets","72-dataset catalogue","","","needs_url_verification"
"DDTI","recognition_classification;quality_acquisition;segmentation_localization","Thyroid","Thyroid nodule identification; thyroid nodule localisation","labels/classes; quality/acquisition cues; masks/boxes/landmarks","72-dataset catalogue; U2-BENCH source","","https://doi.org/10.1117/12.2073532","evidence_link_only"
"Ultrasound nerve segmentation","segmentation_localization","Brachial plexus","","masks/boxes/landmarks","72-dataset catalogue","https://www.kaggle.com/c/ultrasound-nerve-segmentation","https://www.kaggle.com/c/ultrasound-nerve-segmentation","verified_or_curated"
"Ultrasound image enhancement","reconstruction_registration","Thyroid, liver, breast, kidney, and carotid artery","","raw/reconstruction/registration targets","72-dataset catalogue","","","needs_url_verification"
"Tufts medical echocardiogram dataset (TMED)","recognition_classification;measurement_quantification","Aortic stenosis, heart","","labels/classes; measurements/scores","72-dataset catalogue","","","needs_url_verification"
"COVIDx-US","recognition_classification","Lung","","labels/classes","72-dataset catalogue","https://github.com/nrc-cnrc/COVID-US","https://arxiv.org/abs/2103.10003","verified_or_curated"
"The open kidney ultrasound data set","recognition_classification;quality_acquisition;segmentation_localization","Kidney","Kidney multi-class semantic segmentation; kidney view labels; multi-rater annotation variability","labels/classes; quality/acquisition cues; masks/boxes/landmarks","72-dataset catalogue; U2-BENCH source","https://github.com/nikhilroxtomar/Ultrasound-Kidney-Images","https://arxiv.org/abs/2206.06657","verified_or_from_u2bench_source"
"FPUS23","recognition_classification;quality_acquisition;report_vqa_reasoning","Ultrasound fetus phantom","Fetal diagnostic plane identification; fetal ultrasound report generation","labels/classes; quality/acquisition cues; reports/QA/reasoning text","72-dataset catalogue; U2-BENCH source","","https://doi.org/10.1109/ACCESS.2023.3284315","evidence_link_only"
"Thyroid ultrasound cine-clip","recognition_classification","Thyroid","","labels/classes","72-dataset catalogue","","","needs_url_verification"
"Reconstructing of 2D ultrasound (US) images into a 3D volume","reconstruction_registration","Forearms","","raw/reconstruction/registration targets","72-dataset catalogue","","","needs_url_verification"
