seed_id,dataset_name,anatomy,total_dataset_size,access_type,sonodqs,in_curated_table,curated_name,curation_note
1,FETAL PLANES DB,"Fetus, fetal abdomen, fetal brain, fetal femur, fetal thorax, maternal cervix",12400,OA,Gold,yes,Fetal Planes DB,curated ready entry
2,RESECT,Brain,23,OA,Gold,no,,needs URL and HAIC annotation
3,DDTI,Thyroid,481,OA,Silver,yes,DDTI,legacy candidate; stable official access not confirmed
4,Ultrasound nerve segmentation,Brachial plexus,16778,OA,Bronze,yes,Ultrasound Nerve Segmentation,curated ready entry
5,Ultrasound image enhancement,"Thyroid, liver, breast, kidney, and carotid artery",2464,OA,Bronze,no,,needs URL and HAIC annotation
6,Tufts medical echocardiogram dataset (TMED),"Aortic stenosis, heart",6567,AR,Bronze,no,,needs URL and HAIC annotation
7,COVIDx-US,Lung,242,OA,Bronze,yes,COVIDx-US,curated ready entry
8,The open kidney ultrasound data set,Kidney,514,AR,Gold,yes,Open Kidney Ultrasound Dataset,curated candidate entry
9,FPUS23,Ultrasound fetus phantom,15728,OA,Steel,no,,needs URL and HAIC annotation
10,Thyroid ultrasound cine-clip,Thyroid,167,AR,Steel,no,,needs URL and HAIC annotation
11,Reconstructing of 2D ultrasound (US) images into a 3D volume,Forearms,2400,AR,Bronze,no,,needs URL and HAIC annotation
12,Fetal abdominal structures segmentation dataset using ultrasonic images,"Fetal abdomen, fetal liver, fetal stomach, fetal aorta artery, fetal spine, intrahepatic portion of the umbilical vein",1588,OA,Gold,no,,needs URL and HAIC annotation
13,Echocardiogram videos (EchoNet-Dynamic),Heart,10300,AR,Silver,yes,EchoNet-Dynamic,curated ready entry
14,FALLMUD,Fascia lata,10081,OA,Gold,no,,needs URL and HAIC annotation
15,Micro-ultrasound prostate segmentation dataset,Prostate,102,OA,Steel,no,,needs URL and HAIC annotation
16,CAMUS,Heart,500,OA,Steel,yes,CAMUS,curated ready entry
17,Echocardiography (EchoNet-LVH),Heart,12999,AR,Bronze,no,,needs URL and HAIC annotation
18,Regensburg Pediatric Appendicitis Dataset,Appendix,7825,OA,Platinum,no,,needs URL and HAIC annotation
19,Gallbladder ultrasound video,Gallbladder,1046855,OA,Steel,no,,needs URL and HAIC annotation
20,Gallbladder cancer ultrasound,Gallbladder,1255,OA,Platinum,no,,needs URL and HAIC annotation
21,Breast lesion detection in ultrasound videos (BUSV),Breast,928,OA,Gold,no,,needs URL and HAIC annotation
22,Muscle-tendon junction tracking in ultrasound images,Muscle-tendon junction,1250,OA,Gold,no,,needs URL and HAIC annotation
23,Breast ultrasound images dataset,Breast,780,OA,Bronze,yes,BUSI,curated ready entry
24,BITE,"Liver, gallbladder, breast, gastrointestinal, genitourinary",3477,OA,Gold,no,,needs URL and HAIC annotation
25,Dermatologic ultrasound images for classification,"Skin, hair, nail",3882,OA,Steel,no,,needs URL and HAIC annotation
26,Polycystic ovary ultrasound images dataset,Ovary,1924,OA,Bronze,no,,needs URL and HAIC annotation
27,CUBS,Breast,560,OA,Silver,no,,needs URL and HAIC annotation
28,Knee ultrasound dataset in a population-based cohort,Knee,132890,AR,Gold,no,,needs URL and HAIC annotation
